,name,PLD,LCD,ASA,Density,VF,T,DC
264,14051N3,7.39036,12.97507,2104.01,0.489087,0.7734,111,5.42328526931122
265,14051N3,7.39036,12.97507,2104.01,0.489087,0.7734,231,2.2693276853122164
266,14051N3,7.39036,12.97507,2104.01,0.489087,0.7734,296,1.527675816727131
267,14060N2,17.13909,17.55621,1277.2,0.566808,0.7238,111,3.547649849293785
268,14060N2,17.13909,17.55621,1277.2,0.566808,0.7238,231,1.4107166916298506
269,14060N2,17.13909,17.55621,1277.2,0.566808,0.7238,296,0.9837887869537101
270,14070N2,23.03694,23.45999,1121.61,0.466224,0.768,111,4.358892190770551
271,14070N2,23.03694,23.45999,1121.61,0.466224,0.768,231,1.6972946282242085
272,14070N2,23.03694,23.45999,1121.61,0.466224,0.768,296,1.2171137694522782
273,14071N2,20.75151,21.06284,1145.62,0.51383,0.7428,111,3.9207800550736036
274,14071N2,20.75151,21.06284,1145.62,0.51383,0.7428,231,1.5435655723707957
275,14071N2,20.75151,21.06284,1145.62,0.51383,0.7428,296,1.1056732981813167
276,14072N2,18.85461,19.54346,1267.62,0.429701,0.7844,111,4.965979481568731
277,14072N2,18.85461,19.54346,1267.62,0.429701,0.7844,231,1.9634688780448477
278,14072N2,18.85461,19.54346,1267.62,0.429701,0.7844,296,1.3819673348940205
279,14073N2,18.14214,18.78344,1219.92,0.493057,0.7624,111,4.217338544290507
280,14073N2,18.14214,18.78344,1219.92,0.493057,0.7624,231,1.6796638601811456
281,14073N2,18.14214,18.78344,1219.92,0.493057,0.7624,296,1.1752682413869793
282,14080N2,33.17146,33.53272,907.364,0.363681,0.8256,111,5.389325978110417
283,14080N2,33.17146,33.53272,907.364,0.363681,0.8256,231,2.1735920060234823
284,14080N2,33.17146,33.53272,907.364,0.363681,0.8256,296,1.5892658439049818
285,14090N2,22.15841,22.42674,1073.76,0.490232,0.758,111,4.123087047738759
286,14090N2,22.15841,22.42674,1073.76,0.490232,0.758,231,1.6241822574952762
287,14090N2,22.15841,22.42674,1073.76,0.490232,0.758,296,1.1707988723379172
288,14091N2,22.07529,22.64298,1105.81,0.480058,0.758,111,4.209644323816833
289,14091N2,22.07529,22.64298,1105.81,0.480058,0.758,231,1.7029734784961583
290,14091N2,22.07529,22.64298,1105.81,0.480058,0.758,296,1.2173493613099553
291,15010N2,19.65132,19.95355,1195.14,0.514815,0.7452,111,3.8946322938815094
292,15010N2,19.65132,19.95355,1195.14,0.514815,0.7452,231,1.550187493081586
293,15010N2,19.65132,19.95355,1195.14,0.514815,0.7452,296,1.0940865682484202
294,15020N2,23.86713,24.40121,1064.62,0.425609,0.7954,111,4.890540593706984
295,15020N2,23.86713,24.40121,1064.62,0.425609,0.7954,231,1.9475234568576174
296,15020N2,23.86713,24.40121,1064.62,0.425609,0.7954,296,1.4093747572467548
297,15021N2,21.34195,21.57123,1143.17,0.49203,0.7596,111,4.067807109293388
298,15021N2,21.34195,21.57123,1143.17,0.49203,0.7596,231,1.5327869421727434
299,15021N2,21.34195,21.57123,1143.17,0.49203,0.7596,296,1.0895922136748302
300,15030N2,16.10278,16.9014,1232.69,0.555457,0.719,111,3.6107709128397847
301,15030N2,16.10278,16.9014,1232.69,0.555457,0.719,231,1.402808473552264
302,15030N2,16.10278,16.9014,1232.69,0.555457,0.719,296,0.9748517974227152
303,15031N2,23.23628,23.46204,1049.92,0.463394,0.7716,111,4.436182531387092
304,15031N2,23.23628,23.46204,1049.92,0.463394,0.7716,231,1.7613824815283172
305,15031N2,23.23628,23.46204,1049.92,0.463394,0.7716,296,1.2777033297136986
306,15040N2,10.50974,11.20659,1397.75,0.707751,0.6332,111,2.629506143666811
307,15040N2,10.50974,11.20659,1397.75,0.707751,0.6332,231,1.0635165350410933
308,15040N2,10.50974,11.20659,1397.75,0.707751,0.6332,296,0.7017973693416399
309,15050N2,7.59977,7.95629,1244.25,1.04417,0.5378,111,1.3105011986764428
310,15050N2,7.59977,7.95629,1244.25,1.04417,0.5378,231,0.7234559844944566
311,15050N2,7.59977,7.95629,1244.25,1.04417,0.5378,296,0.4717335783466408
312,15060N2,12.12641,12.51933,1425.83,0.668249,0.6538,111,2.8082077352693045
313,15060N2,12.12641,12.51933,1425.83,0.668249,0.6538,231,1.1240933125147428
314,15060N2,12.12641,12.51933,1425.83,0.668249,0.6538,296,0.760583373443778
315,15061N2,14.89934,15.21097,1430.79,0.558747,0.7054,111,3.569949379932604
316,15061N2,14.89934,15.21097,1430.79,0.558747,0.7054,231,1.401173439006076
317,15061N2,14.89934,15.21097,1430.79,0.558747,0.7054,296,0.9634256423946945
318,15070N2,25.28196,25.54078,1023.62,0.439066,0.7832,111,4.6050192175872295
319,15070N2,25.28196,25.54078,1023.62,0.439066,0.7832,231,1.8462453971074912
320,15070N2,25.28196,25.54078,1023.62,0.439066,0.7832,296,1.3332349495682452
321,15071N2,24.81088,25.2114,1053.76,0.453,0.7748,111,4.4410477045883265
322,15071N2,24.81088,25.2114,1053.76,0.453,0.7748,231,1.7812349456206884
323,15071N2,24.81088,25.2114,1053.76,0.453,0.7748,296,1.279278840139344
324,15072N2,14.95702,16.31818,1235.42,0.612782,0.699,111,3.1612674964412375
325,15072N2,14.95702,16.31818,1235.42,0.612782,0.699,231,1.2889542163422776
326,15072N2,14.95702,16.31818,1235.42,0.612782,0.699,296,0.8847659601592152
327,15080N2,9.39234,10.5938,1496.43,0.643085,0.6694,111,2.76195855864347
