name,PLD,LCD,ASA,Density,VF
16150N2,21.73409,22.12505,1117.47,0.494727,0.7648
16160N2,14.91681,15.19576,1234.64,0.740679,0.6612
16170N2,17.69479,18.04129,1216.79,0.541368,0.717
16171N2,17.08912,17.48621,1218.42,0.639697,0.7038
16172N2,25.21067,25.46093,1061.57,0.41144,0.7752
16173N2,31.89966,32.18576,956.833,0.370163,0.8092
16174N2,28.15568,28.50367,974.175,0.371696,0.799
16190N2,6.85059,8.77775,1657.04,0.727662,0.6144
16191N2,6.21266,7.34615,1964.67,0.699817,0.6282
16200N2,11.87076,12.45711,1395.19,0.878893,0.6552
16201N2,10.1499,10.63824,1404.12,0.914655,0.6138
16210N2,17.76688,18.18744,1181.3,0.71939,0.6692
16211N2,17.80946,18.15626,1115.87,0.77486,0.6632
16230N2,10.53462,10.83695,1298.79,0.844996,0.6024
16250N3,20.71633,22.75045,1055.32,0.14665,0.9284
16251N3,10.02197,11.66813,2118.37,0.294407,0.855
16260N2,9.49409,9.91963,684.39,1.03072,0.479
16271N2,29.53662,30.00226,1144,0.456346,0.7662
16272N2,39.65207,39.84009,1004.35,0.375032,0.8098
16273N2,27.92619,28.32721,1229.18,0.49464,0.7694
16290N3,3.38802,5.76965,856.239,1.06672,0.452
16310N2,6.95382,8.01662,1097.24,0.841435,0.5746
16311N2,7.13435,7.66374,1542.51,0.879131,0.5546
16312N2,16.67048,17.3372,1231.11,0.543966,0.732
16330N2,19.81167,20.37559,1183.82,0.468681,0.7622
16331N2,25.8208,26.20869,1016.12,0.414676,0.7936
16332N3,13.36715,17.07413,1440.19,0.284828,0.875
16340N2,12.95779,13.26533,1210.51,0.76704,0.639
16350N2,25.50188,25.77398,966.563,0.509863,0.774
16351N2,19.68145,19.89966,1224,0.6143,0.7178
16360N2,18.74076,19.17221,1242.07,0.544121,0.7396
16361N2,28.41128,29.01215,992.549,0.383347,0.808
16370N2,4.40556,5.54476,1053.75,1.09429,0.4942
16371N2,2.96463,3.27866,0,1.37054,0.3452
16380N2,35.09844,35.46056,850.611,0.319638,0.8398
16390N2,14.33331,15.19423,1210.74,0.647484,0.6856
16400N2,26.12175,26.54706,1232.78,0.478511,0.7678
16420N2,11.76505,12.36771,1277.68,0.742764,0.6492
16430N2,6.64601,7.76763,1208.79,0.776327,0.5816
16440N2,22.67011,22.84724,1146.64,0.470824,0.7566
16450N2,16.98793,17.71082,1316.06,0.471821,0.7574
16460N2,27.10381,27.17822,995.994,0.439813,0.7812
16480N2,16.76115,16.93456,1220.29,0.58249,0.7134
16481N2,15.62354,16.59499,1240.26,0.60475,0.7042
16490N2,10.47565,10.92852,1368.26,0.81882,0.647
16500N2,9.10157,9.39674,1360.19,1.03525,0.5684
16510N2,9.46718,10.04647,1359.54,0.781202,0.6046
17000N2,20.71954,21.21011,1027.61,0.660181,0.6872
17020N2,18.77589,19.19797,1158.3,0.595335,0.719
17030N2,26.00407,26.20175,984.323,0.435971,0.7758
17040N2,12.51181,13.04871,1247.98,0.700464,0.6516
17050N2,22.32117,23.00191,1133.19,0.494127,0.7524
17060N2,10.32219,11.16891,1382.33,0.751486,0.6062
17061N2,7.40055,8.10864,1327.25,0.876767,0.5454
17070N2,25.074,25.37192,1006.81,0.462755,0.7812
17091N3,3.12075,4.25762,0,1.11223,0.4256
17100N2,25.47882,25.69906,979.011,0.534228,0.7618
17110N2,25.46168,26.01652,1220.49,0.353252,0.8066
17120N2,1.25812,4.42631,0,1.14913,0.4312
17130N2,28.45694,29.1927,954.946,0.533888,0.7222
17131N2,21.19627,21.63801,1067.72,0.649875,0.6628
17140N2,17.91722,18.20795,1240.2,0.528654,0.7226
17150N2,24.73971,24.93045,1065.6,0.447461,0.7648
17151N2,20.97116,21.53852,1153.83,0.524462,0.7378
17152N2,22.91272,23.16777,1077.82,0.477578,0.7536
17153N2,18.81365,19.70608,1133.78,0.504396,0.7398
17154N2,18.89976,19.6165,1032.14,0.512414,0.732
17155N2,18.92248,19.49115,1110.03,0.519441,0.7334
17156N2,5.02992,6.10684,1271.22,0.878368,0.5472
17160N3,18.62581,21.79419,1088.15,0.166713,0.9158
17161N3,13.7956,16.61482,1948.16,0.333212,0.8344
17162N3,18.77561,21.68941,1084.43,0.154825,0.9158
17163N3,13.83528,16.47075,1903.39,0.311547,0.8334
17170N2,10.37141,11.17048,1351.43,0.74875,0.6128
17180N2,11.73659,12.21412,1394.02,0.615116,0.684
17181N2,18.73235,19.19355,1335.52,0.571852,0.717
17190N2,17.13176,17.55318,1230.32,0.530338,0.71
17191N2,15.11254,15.58448,1312.24,0.592438,0.692
17210N2,16.67598,16.96215,1211.27,0.59928,0.703
17220N2,17.20539,17.98498,1343.44,0.573674,0.7008
17230N2,9.97459,10.52532,1225.34,0.755695,0.614
17240N3,23.31975,23.5809,1117.37,0.434195,0.7708
17250N2,19.75179,20.00273,1187.97,0.507876,0.7572
18010N3,2.01375,3.82355,0,1.1245,0.4186
18011N3,3.2715,4.75602,0,1.00443,0.4958
18023N3,10.93878,11.43287,1580.17,0.588891,0.686
18030N2,6.42832,7.50136,1612.82,0.748783,0.6086
18031N2,13.26382,13.82111,1431.1,0.601986,0.6842
18032N2,13.98506,14.58736,1308.58,0.671482,0.638
18033N2,14.90813,15.63321,1413.81,0.580582,0.6876
18040N3,6.20157,7.23596,1529.42,0.821216,0.5818
18041N3,4.43086,5.23077,478.491,1.14321,0.4322
18060N2,14.82877,15.08532,1406.68,0.655476,0.6564
18061N2,14.17161,15.36874,1119.34,0.711981,0.6386
18070N2,16.61245,17.07801,1432.84,0.725586,0.6332
18080N2,20.60651,20.84428,1171.16,0.461651,0.7704
18083N2,16.32411,16.82653,1333.19,0.589894,0.712
18090N2,24.60906,24.79285,957.944,0.435094,0.7784
18100N2,27.23734,27.7321,1015.88,0.382264,0.8042
18101N2,23.17957,23.42106,1096.61,0.451638,0.7674
18110N2,18.23621,18.71444,1194.39,0.525343,0.7254
18111N2,17.27548,17.77507,1183.8,0.635435,0.7048
18112N2,16.95169,17.45576,1202.97,0.624446,0.703
18120N3,2.69535,3.93108,0,1.13209,0.383
18121N3,5.7836,6.24203,970.74,0.992781,0.4698
18122N3,7.03285,7.34862,1106.14,0.93972,0.504
