Number,structure,111K,231K,296K
108,16171N2,0.6388126022477935,2.0801649564592,2.3696911812776373
109,16172N2,0.7212915944793948,2.2604822586209004,2.6943997595613953
110,16173N2,1.9100038356042708,3.6737588630302995,3.516803469352001
111,16174N2,1.921110633788361,3.638303950407409,3.4938164303990065
112,16220N2,0.7999772228364113,2.2851421671377232,2.633091071025626
113,16250N3,9.901768244829416,10.78792838622714,8.322196838519362
114,16251N3,1.6758092143840266,5.011726705869244,5.671706494700408
115,16271N2,0.4920375608676074,1.7132847394626558,2.0705273270016553
116,16272N2,0.7723884538473934,2.5748661529498342,2.814116114321439
117,16273N2,1.0922556992795387,2.6781796710405583,2.7739403453755482
118,16280C2,5.583518299891572,4.952498045418033,4.2227510756920905
119,16300N2,1.3485210564305292,3.159842075270738,3.292590392945799
120,16310N2,0.8785931605556249,2.673126067838509,3.08592053344985
121,16311N2,0.9555339361956121,2.5991227437991564,3.126045096887801
122,16312N2,2.487062435198671,5.573897501131251,4.861430694401518
123,16330N2,0.36575038894350603,1.8086165024242573,2.29279228747482
124,16331N2,0.8909319831268341,2.7014847135781443,2.947986687183631
125,16340N2,0.8057679005190995,2.802407101770212,3.393893811305994
126,16360N2,0.34351906285269923,1.4845986243808025,1.8618236767243
127,16361N2,1.5041895426835155,3.280703780837173,3.28073897509294
128,16380N2,2.097918230008591,4.025159685760404,3.84796376556113
129,16381N2,0.962357526907957,2.792757129213854,3.00832527455117
130,16390N2,2.605480950805322,5.352372437602542,4.333742336859738
131,16400N2,1.418547474231257,3.6816097693960095,3.876820897918091
132,16440N2,2.191131154546562,3.6591037590850752,3.271393190327356
133,16450N2,1.4518410939288064,4.091121827677772,4.436796405710015
134,16460N2,1.9359672977708144,3.594972657412884,3.3583042854147234
135,17000N2,4.645358211141217,5.036196905562138,3.698392921162983
136,17030N2,0.8660624009259008,2.637419585695832,2.89433197114513
137,17050N2,1.9444290285192067,3.2324491799590236,2.9509725729471703
138,17070N2,1.6130465032883632,3.273473912469264,3.206166647116488
139,17100N2,1.4102936297799307,3.0382451325828503,2.943387149656254
140,17130N2,1.2679485587696553,3.004017891112563,2.953034059741759
141,17131N2,1.127234707649594,2.269229569817553,2.2087807542565496
142,17140N2,4.850048699312134,1.6233475520036156,1.1190114843822925
143,17150N2,1.7220690530517626,3.164278563466833,2.9317204425214367
144,17151N2,1.6384203422863222,3.0582196897157714,2.8484575994643957
145,17152N2,1.6045185706938025,3.001536662103236,2.79262868914763
146,17153N2,1.664408508901161,2.9988501029899455,2.7682670428637977
147,17154N2,1.3097490005461403,2.4365687892210675,2.2090067959901516
148,17155N2,1.344861097494738,2.3467112835965835,2.0392808528160966
149,17160N3,8.136608015064516,10.462809831648702,8.030822780871572
150,17161N3,1.6294268206569578,4.406216795663427,4.896100217962315
151,17162N3,8.452956523868718,10.762800345298057,8.2596743872876
152,17163N3,1.6670716929559233,4.587963624636066,5.053653103624821
153,17180N2,0.9811128883771497,2.1817277496065737,2.3460219652309666
154,17220N2,2.005988301612051,3.0708145155610684,2.7257744914563
155,17240N3,2.0368590132835322,3.4577048946529896,3.102215549947559
156,18020N3,6.38241839942333,10.913562838108906,8.656837259631738
157,18021N3,0.8581209171300503,3.0862666502770035,3.7867324352820244
158,18022N3,0.4346854640300987,1.3975653554755822,1.823259316913025
159,18033N2,0.20705731614513712,0.9753166932108762,1.5820209902279943
160,18050N2,2.1119823616128226,3.695476594680504,3.3853765066429995
161,18080N2,0.7690231901642238,2.6346146958622962,3.3142934387292216
162,18081N2,1.0389297838373397,2.9709800554944965,2.922420271469543
163,18082N2,1.2317579726673804,3.397494202123797,3.295587985029235
164,18083N2,1.2243247313059,3.1241596191257615,2.9221799324698097
165,18090N2,3.2931284577539763,3.8940787263831687,3.396597884060548
166,18091N2,1.6942832235793175,3.745038908539348,3.4231176815412026
167,18100N2,2.6539905410355376,4.453066228348997,4.25814785630783
168,18101N2,1.3605389325126165,3.193719885657321,3.375461417200943
169,18134N3,0.5624751322632725,1.2345723792249157,1.7013737087374052
170,18140N2,0.6371785111376312,2.2353575939145713,3.044471307003074
171,18141N2,0.5539788724499076,2.025165644380621,2.704737033780407
172,18142N3,7.2267285896077755,10.428028450571938,8.929143244440835
173,18143N3,14.309648483456963,12.208775239635248,9.122806447183958
174,19000N3,7.1591962959568765,9.166136286805779,6.707589612135633
175,19001N3,1.394966526688574,3.318086954841978,3.761859293696337
176,19002N3,9.574127145255355,11.067126039564181,8.63503446685025
177,19003N3,1.5314240737431113,4.422238621798343,5.3863228711267
178,19041N2,1.758816109655136,3.2858030113402807,2.9482770666375595
179,19050N2,2.759943806966498,4.142759144655179,3.6572296714866885
180,19051N2,3.6157044668720837,4.357774883038873,3.7001789622276537
181,19070N2,1.3000564620544497,2.967646537275235,3.113071708548994
182,19071N2,0.9233345797790508,2.635545085048024,3.1106565298958797
183,19072N2,0.8462991976001569,2.6137469854764657,3.2166278853742982
184,19090N2,1.4083813618946928,3.273268385001176,3.2278333021270704
185,19110N2,1.9897006015218643,3.816343772967256,3.6607585328215415
186,19130N2,0.35806418670555656,1.5158692408535464,1.984081688991483
187,19180N2,0.9458283641680222,2.6163009709459155,2.844455561017117
188,19181N2,0.6882638386529399,1.9970629697686983,2.3249376214500335
189,19182N2,3.108272540771925,4.476586814270912,4.15851962267442
190,19190N2,1.1661448569162869,2.920225391131624,2.6498391952829405
191,19200N2,0.3633415359121857,1.5543102782515823,1.98087478538976
192,19210N2,2.2643363451638647,4.043742437157449,3.8359303933880726
193,19211C2,4.750254991171343,3.9480230195426107,3.06500757244075
194,19212N2,2.323224004000715,3.9723739161891776,3.6886589802100467
195,19213C2,2.276148546065586,3.868935837497277,3.61836173104002
196,19214N2,2.1212124323705366,3.704772215527823,3.414708827666189
197,19215C2,2.15651530347785,3.622837309039688,3.3552612909757973
198,19220N2,1.8174174287041525,3.882737016102669,3.8719069604250724
