,name,PLD,LCD,ASA,Density,VF,site,ratio,T,DC
85,11040N2,32.78879,32.93058,874.708,0.344509,0.8282,0.0,0.0,231,2.2382578871428573
86,11040N2,32.78879,32.93058,874.708,0.344509,0.8282,0.0,0.0,296,1.6242399698214287
87,12000N2,13.08464,13.44419,1286.3,0.741116,0.6496,0.0,0.0,111,2.374212071696429
88,12000N2,13.08464,13.44419,1286.3,0.741116,0.6496,0.0,0.0,231,0.9570666056250001
89,12000N2,13.08464,13.44419,1286.3,0.741116,0.6496,0.0,0.0,296,0.6488734029464286
90,12001N2,10.28103,10.58897,1330.84,0.848478,0.5738,0.0,0.0,111,1.7217915987499999
91,12001N2,10.28103,10.58897,1330.84,0.848478,0.5738,0.0,0.0,231,0.7039268941964286
92,12001N2,10.28103,10.58897,1330.84,0.848478,0.5738,0.0,0.0,296,0.46077195607142857
93,12010N2,18.60733,19.07485,1106.88,0.598516,0.7028,0.0,0.0,111,3.089860167232143
94,12010N2,18.60733,19.07485,1106.88,0.598516,0.7028,0.0,0.0,231,1.2085440515178574
95,12010N2,18.60733,19.07485,1106.88,0.598516,0.7028,0.0,0.0,296,0.8449132383035716
96,12011N2,18.63318,19.15145,1102.73,0.639688,0.7,0.0,0.0,111,2.916906674732143
97,12011N2,18.63318,19.15145,1102.73,0.639688,0.7,0.0,0.0,231,1.1354153174107144
98,12011N2,18.63318,19.15145,1102.73,0.639688,0.7,0.0,0.0,296,0.7961577415178572
99,12012N2,18.56991,19.12853,1105.37,0.641198,0.7002,0.0,0.0,111,2.8989009960714287
100,12012N2,18.56991,19.12853,1105.37,0.641198,0.7002,0.0,0.0,231,1.1330915061607143
101,12012N2,18.56991,19.12853,1105.37,0.641198,0.7002,0.0,0.0,296,0.7847214049107143
102,12020N2,15.52692,15.82596,1174.84,0.747682,0.6702,0.0,0.0,111,2.3109845016964288
103,12020N2,15.52692,15.82596,1174.84,0.747682,0.6702,0.0,0.0,231,0.9104487143750001
104,12020N2,15.52692,15.82596,1174.84,0.747682,0.6702,0.0,0.0,296,0.6325540971428572
105,12022N2,23.79996,24.06552,1059.65,0.521619,0.7636,0.0,0.0,111,3.679330618839286
106,12022N2,23.79996,24.06552,1059.65,0.521619,0.7636,0.0,0.0,231,1.3957967136607143
107,12022N2,23.79996,24.06552,1059.65,0.521619,0.7636,0.0,0.0,296,0.9991320119642857
108,12023N2,24.14477,24.58257,966.264,0.576825,0.748,0.0,0.0,111,3.255507183125
