Number,Name,Number_group
231,16312N2,10
232,16320N2,12
233,16330N2,12
234,16331N2,18
235,16332N3,0
236,16340N2,16
237,16350N2,0
238,16351N2,0
239,16360N2,12
240,16361N2,18
241,16370N2,0
242,16371N2,0
243,16380N2,24
244,16381N2,18
245,16390N2,8
246,16400N2,24
247,16410C2,6
248,16411C2,6
249,16412C2,6
250,16413C2,6
251,16420N2,0
252,16430N2,0
253,16440N2,12
254,16450N2,12
255,16460N2,24
256,16470N2,12
257,16480N2,12
258,16481N2,12
259,16490N2,12
260,16500N2,0
261,16510N2,18
262,17000N2,16
263,17010N2,12
264,17020N2,0
265,17030N2,18
266,17040N2,32
267,17050N2,12
268,17060N2,36
269,17061N2,24
270,17070N2,12
271,17080C2,60
272,17090N3,32
273,17091N3,16
274,17100N2,12
275,17110N2,0
276,17120N2,0
277,17130N2,48
278,17131N2,24
279,17140N2,16
280,17150N2,12
281,17151N2,12
282,17152N2,12
283,17153N2,12
284,17154N2,12
285,17155N2,12
286,17156N2,23
287,17160N3,16
288,17161N3,32
289,17162N3,16
290,17163N3,32
291,17170N2,6
292,17180N2,12
293,17181N2,0
294,17190N2,12
295,17191N2,12
296,17200C3,16
297,17210N2,12
298,17220N2,12
299,17230N2,18
300,17240N3,12
301,17250N2,0
302,18000C3,0
303,18001C3,0
304,18010N3,16
305,18011N3,16
306,18020N3,12
307,18021N3,24
308,18022N3,12
309,18023N3,12
310,18030N2,16
311,18031N2,48
312,18032N2,48
313,18033N2,48
314,18040N3,16
315,18041N3,16
316,18050N2,12
317,18060N2,0
318,18061N2,0
319,18070N2,12
320,18080N2,32
321,18081N2,16
322,18082N2,16
323,18083N2,16
324,18090N2,12
325,18091N2,24
326,18100N2,12
327,18101N2,12
328,18110N2,24
329,18111N2,16
330,18112N2,16
331,18120N3,20
332,18121N3,32
333,18122N3,40
334,18130N3,24
335,18131N3,24
336,18132N3,24
337,18133N3,48
338,18134N3,14
339,18140N2,12
340,18141N2,12
341,18142N3,24
342,18143N3,22
343,18150N2,0
344,18151N2,0
345,18160N2,12
346,18161N2,6
347,19000N3,8
348,19001N3,8
349,19002N3,16
350,19003N3,16
351,19010N2,32
352,19020N3,0
353,19021N3,0
354,19022N3,0
355,19023N3,0
356,19030N2,0
357,19031N2,0
358,19040N2,16
359,19041N2,12
360,19050N2,12
361,19051N2,12
362,19060N2,12
363,19061N2,12
364,19070N2,12
365,19071N2,12
366,19072N2,18
367,19080N2,0
368,19090N2,12
369,19100N2,0
370,19101N2,0
371,19102N2,0
372,19103N2,0
373,19110N2,12
374,19120N2,0
375,19121N2,0
376,19122N2,0
377,19123N2,0
378,19130N2,32
379,19140N2,0
380,19141N2,0
381,19142N2,0
382,19143N2,0
383,19144N2,0
384,19145N2,0
385,19150N2,0
386,19160C2,0
387,19170N2,0
388,19180N2,18
389,19181N2,12
390,19182N2,18
391,19190N2,16
392,19191N2,0
393,19200N2,12
394,19210N2,12
395,19211C2,12
396,19212N2,12
397,19213C2,12
398,19214N2,12
399,19215C2,12
400,19220N2,24
401,19230N2,32
402,19231N2,32
403,19240N3,32
404,19241N3,32
405,19242N3,32
406,19250N3,32
407,19251N3,32
408,19252N3,32
409,19253N3,32
410,19260N2,6
411,19270N2,16
412,19271N2,16
413,19280N2,24
414,19281N2,24
415,19282N2,24
416,19283N2,24
417,19290N2,72
418,19291N2,24
419,19292N2,68
420,19300N2,6
421,19301N2,6
422,19310N2,28
423,19311N2,12
424,19320C2,12
425,19330N2,24
426,19340N2,6
427,19341N2,6
428,19350N2,16
429,19351N2,24
430,19352N2,24
431,19353N2,16
432,19360N2,18
433,19361N2,12
434,19362N2,12
435,19363N2,12
436,19364N2,12
437,19365N2,12
438,19366N2,12
439,19370N2,16
440,19380N2,24
441,19390N2,6
442,19400N3,48
443,19401N3,8
444,19402N3,16
445,19403N3,8
446,19404N3,16
447,19410N2,36
448,19411N2,24
449,19412N2,24
450,19413N2,12
451,19420N3,32
452,19421N3,48
453,19430N2,24
454,19431N2,16
455,19440N2,0
456,19441N2,0
457,19450N2,24
458,19451N2,30
459,19452N2,24
