Number,Name,H,C,N,O,Metal,Metal_count
156,15251N2,68.0,104.0,16.0,0.0,None,0
157,15252N2,64.0,100.0,20.0,0.0,None,0
158,15253N2,60.0,96.0,24.0,0.0,None,0
159,16000N2,72.0,192.0,0.0,24.0,None,0
160,16001N2,72.0,216.0,0.0,24.0,None,0
161,16002N2,72.0,204.0,0.0,24.0,None,0
162,16010N2,0.0,0.0,0.0,0.0,None,0
163,16011N2,0.0,0.0,0.0,0.0,None,0
164,16020N2,0.0,0.0,0.0,0.0,None,0
165,16030N2,96.0,150.0,24.0,0.0,None,0
166,16031N2,138.0,174.0,30.0,0.0,None,0
167,16032N2,138.0,174.0,30.0,12.0,None,0
168,16040N2,52.0,84.0,8.0,0.0,None,0
169,16041N2,88.0,132.0,12.0,0.0,None,0
170,16050N2,40.0,104.0,20.0,16.0,Ni,2
171,16051N2,88.0,216.0,8.0,48.0,None,0
172,16052N2,124.0,296.0,4.0,48.0,None,0
173,16053N2,128.0,296.0,0.0,48.0,None,0
174,16054N2,84.0,216.0,12.0,48.0,None,0
175,16055N2,112.0,256.0,0.0,48.0,None,0
176,16056N2,0.0,0.0,0.0,0.0,None,0
177,16057N2,76.0,216.0,4.0,48.0,None,0
178,16058N2,44.0,116.0,8.0,24.0,None,0
179,16060N2,200.0,244.0,16.0,16.0,None,0
180,16061N2,264.0,340.0,16.0,16.0,None,0
181,16070N2,0.0,0.0,0.0,0.0,None,0
182,16080N2,192.0,296.0,40.0,0.0,None,0
183,16081N2,192.0,296.0,40.0,0.0,None,0
184,16082N2,192.0,296.0,40.0,0.0,None,0
185,16083N2,192.0,296.0,40.0,0.0,None,0
186,16090N2,72.0,108.0,12.0,0.0,None,0
187,16100N2,54.0,90.0,18.0,0.0,None,0
188,16110N3,96.0,114.0,12.0,12.0,None,0
189,16111N3,384.0,456.0,48.0,48.0,None,0
190,16112N3,84.0,114.0,12.0,12.0,None,0
191,16113N3,336.0,456.0,48.0,48.0,None,0
192,16120N2,42.0,66.0,18.0,12.0,None,0
193,16121N2,176.0,272.0,64.0,70.0,None,0
194,16130N3,72.0,171.0,0.0,24.0,Ni,4
195,16131N3,288.0,684.0,0.0,96.0,Ni,16
196,16140N2,168.0,252.0,24.0,24.0,None,0
197,16141N2,96.0,144.0,12.0,12.0,None,0
198,16142N2,96.0,144.0,12.0,0.0,None,0
199,16150N2,72.0,120.0,12.0,12.0,None,0
200,16160N2,48.0,108.0,24.0,12.0,None,0
201,16170N2,136.0,224.0,16.0,0.0,None,0
202,16171N2,104.0,224.0,16.0,0.0,None,0
203,16172N2,168.0,288.0,16.0,0.0,None,0
204,16173N2,184.0,352.0,32.0,0.0,None,0
205,16174N2,232.0,368.0,16.0,16.0,None,0
206,16180C2,112.0,144.0,4.0,16.0,None,0
207,16181C2,80.0,136.0,0.0,16.0,None,0
208,16190N2,156.0,240.0,28.0,0.0,None,0
209,16191N2,204.0,312.0,28.0,0.0,None,0
210,16200N2,48.0,72.0,12.0,48.0,None,0
211,16201N2,48.0,72.0,12.0,30.0,None,0
212,16210N2,48.0,120.0,24.0,24.0,None,0
213,16211N2,48.0,120.0,24.0,36.0,None,0
214,16220N2,72.0,108.0,24.0,12.0,None,0
215,16230N2,36.0,60.0,12.0,6.0,None,0
216,16240C2,18.0,20.0,12.0,6.0,None,0
217,16241C2,18.0,20.0,12.0,6.0,None,0
218,16242C2,18.0,20.0,12.0,6.0,None,0
219,16250N3,84.0,138.0,8.0,0.0,None,0
220,16251N3,168.0,276.0,16.0,0.0,None,0
221,16260N2,180.0,144.0,24.0,24.0,None,0
222,16270N2,168.0,252.0,24.0,0.0,None,0
223,16271N2,216.0,324.0,24.0,0.0,None,0
224,16272N2,264.0,396.0,24.0,0.0,None,0
225,16273N2,144.0,252.0,24.0,0.0,None,0
226,16280C2,168.0,240.0,24.0,0.0,None,0
227,16290N3,384.0,608.0,64.0,0.0,None,0
228,16300N2,96.0,144.0,12.0,0.0,None,0
229,16310N2,116.0,180.0,16.0,8.0,None,0
230,16311N2,108.0,172.0,24.0,8.0,None,0
231,16312N2,76.0,120.0,16.0,4.0,None,0
232,16320N2,72.0,108.0,12.0,12.0,None,0
233,16330N2,72.0,108.0,12.0,0.0,None,0
234,16331N2,84.0,132.0,24.0,0.0,None,0
235,16332N3,64.0,120.0,16.0,32.0,None,0
236,16340N2,104.0,176.0,32.0,16.0,None,0
237,16350N2,48.0,132.0,0.0,24.0,None,0
238,16351N2,96.0,156.0,0.0,36.0,None,0
239,16360N2,54.0,90.0,18.0,12.0,None,0
240,16361N2,84.0,132.0,24.0,12.0,None,0
241,16370N2,12.0,24.0,12.0,0.0,None,0
242,16371N2,36.0,72.0,12.0,0.0,None,0
243,16380N2,108.0,168.0,36.0,0.0,None,0
244,16381N2,96.0,144.0,12.0,0.0,None,0
245,16390N2,68.0,120.0,8.0,0.0,None,0
246,16400N2,120.0,228.0,0.0,48.0,None,0
247,16410C2,120.0,162.0,18.0,12.0,None,0
248,16411C2,120.0,162.0,18.0,12.0,None,0
249,16412C2,120.0,162.0,18.0,12.0,None,0
250,16413C2,120.0,162.0,18.0,12.0,None,0
251,16420N2,108.0,132.0,24.0,24.0,None,0
252,16430N2,168.0,156.0,12.0,12.0,None,0
253,16440N2,120.0,156.0,12.0,12.0,None,0
254,16450N2,76.0,120.0,16.0,0.0,None,0
255,16460N2,168.0,264.0,48.0,24.0,None,0
256,16470N2,60.0,96.0,0.0,0.0,None,0
257,16480N2,54.0,90.0,18.0,0.0,None,0
258,16481N2,54.0,90.0,18.0,0.0,None,0
259,16490N2,72.0,72.0,36.0,0.0,None,0
260,16500N2,24.0,72.0,36.0,0.0,None,0
261,16510N2,84.0,144.0,24.0,0.0,None,0
262,17000N2,168.0,368.0,32.0,32.0,None,0
263,17010N2,66.0,102.0,6.0,0.0,None,0
264,17020N2,60.0,96.0,24.0,12.0,None,0
265,17030N2,96.0,144.0,12.0,12.0,None,0
266,17040N2,208.0,352.0,32.0,0.0,None,0
267,17050N2,120.0,156.0,12.0,0.0,None,0
268,17060N2,156.0,252.0,28.0,0.0,None,0
269,17061N2,108.0,180.0,28.0,0.0,None,0
270,17070N2,84.0,132.0,24.0,12.0,None,0
271,17080C2,120.0,172.0,16.0,0.0,None,0
272,17090N3,144.0,212.0,16.0,0.0,None,0
273,17091N3,128.0,196.0,32.0,0.0,None,0
274,17100N2,60.0,144.0,24.0,24.0,None,0
275,17110N2,192.0,192.0,12.0,12.0,None,0
276,17120N2,60.0,42.0,24.0,0.0,None,0
277,17130N2,360.0,552.0,48.0,0.0,None,0
278,17131N2,264.0,408.0,48.0,0.0,None,0
279,17140N2,72.0,114.0,12.0,0.0,None,0
280,17150N2,138.0,166.0,14.0,14.0,None,0
281,17151N2,134.0,166.0,14.0,18.0,None,0
282,17152N2,138.0,168.0,14.0,18.0,None,0
283,17153N2,152.0,174.0,16.0,14.0,None,0
284,17154N2,188.0,196.0,16.0,24.0,None,0
285,17155N2,188.0,200.0,16.0,32.0,None,0
286,17156N2,294.0,306.0,24.0,48.0,None,0
287,17160N3,88.0,146.0,16.0,0.0,Cu,2
288,17161N3,176.0,292.0,32.0,0.0,Cu,4
289,17162N3,92.0,150.0,12.0,0.0,None,0
290,17163N3,184.0,300.0,24.0,0.0,None,0
291,17170N2,42.0,66.0,6.0,2.0,None,0
292,17180N2,0.0,0.0,0.0,0.0,None,0
293,17181N2,96.0,96.0,24.0,24.0,None,0
294,17190N2,60.0,90.0,8.0,0.0,None,0
295,17191N2,54.0,78.0,10.0,0.0,None,0
296,17200C3,144.0,208.0,48.0,0.0,Co,8
297,17210N2,48.0,96.0,12.0,6.0,None,0
298,17220N2,168.0,180.0,12.0,12.0,None,0
299,17230N2,88.0,132.0,16.0,0.0,None,0
300,17240N3,120.0,168.0,12.0,0.0,None,0
301,17250N2,60.0,96.0,24.0,0.0,None,0
302,18000C3,48.0,144.0,0.0,48.0,None,0
303,18001C3,48.0,144.0,0.0,48.0,None,0
304,18010N3,92.0,120.0,8.0,8.0,None,0
305,18011N3,92.0,120.0,8.0,16.0,None,0
306,18020N3,80.0,100.0,8.0,0.0,None,0
307,18021N3,80.0,100.0,8.0,0.0,None,0
308,18022N3,80.0,100.0,8.0,0.0,None,0
309,18023N3,80.0,100.0,8.0,0.0,None,0
310,18030N2,72.0,112.0,8.0,0.0,None,0
311,18031N2,224.0,344.0,16.0,16.0,None,0
312,18032N2,224.0,328.0,16.0,0.0,None,0
313,18033N2,240.0,328.0,32.0,0.0,None,0
314,18040N3,144.0,212.0,16.0,16.0,None,0
315,18041N3,208.0,276.0,16.0,64.0,None,0
316,18050N2,120.0,156.0,12.0,12.0,None,0
317,18060N2,132.0,120.0,24.0,24.0,None,0
318,18061N2,108.0,120.0,24.0,24.0,None,0
319,18070N2,204.0,276.0,24.0,24.0,None,0
320,18080N2,144.0,240.0,32.0,0.0,Co,4
321,18081N2,112.0,240.0,32.0,0.0,Co,4
322,18082N2,136.0,240.0,32.0,0.0,Co,4
323,18083N2,176.0,256.0,32.0,16.0,Co,4
324,18090N2,120.0,240.0,0.0,24.0,None,0
325,18091N2,240.0,480.0,0.0,48.0,None,0
326,18100N2,72.0,132.0,12.0,12.0,None,0
327,18101N2,72.0,120.0,12.0,12.0,None,0
328,18110N2,136.0,224.0,16.0,0.0,None,0
329,18111N2,104.0,224.0,16.0,0.0,None,0
330,18112N2,104.0,224.0,16.0,16.0,None,0
331,18120N3,112.0,160.0,16.0,0.0,None,0
332,18121N3,144.0,212.0,16.0,0.0,None,0
333,18122N3,176.0,260.0,16.0,0.0,None,0
334,18130N3,112.0,164.0,16.0,0.0,None,0
335,18131N3,112.0,164.0,16.0,0.0,None,0
336,18132N3,112.0,164.0,16.0,0.0,None,0
337,18133N3,216.0,318.0,24.0,0.0,None,0
338,18134N3,86.0,134.0,16.0,0.0,None,0
339,18140N2,72.0,96.0,8.0,0.0,None,0
340,18141N2,78.0,108.0,6.0,0.0,None,0
341,18142N3,108.0,162.0,16.0,0.0,None,0
342,18143N3,120.0,186.0,12.0,0.0,None,0
343,18150N2,22.0,72.0,12.0,12.0,None,0
344,18151N2,48.0,108.0,12.0,12.0,None,0
345,18160N2,54.0,90.0,18.0,0.0,None,0
346,18161N2,42.0,90.0,18.0,0.0,None,0
347,19000N3,64.0,88.0,8.0,0.0,None,0
348,19001N3,64.0,88.0,8.0,0.0,None,0
349,19002N3,72.0,118.0,8.0,0.0,None,0
350,19003N3,72.0,118.0,8.0,0.0,None,0
351,19010N2,168.0,296.0,32.0,0.0,None,0
352,19020N3,96.0,164.0,16.0,16.0,None,0
353,19021N3,96.0,164.0,16.0,16.0,None,0
354,19022N3,96.0,164.0,16.0,16.0,None,0
355,19023N3,96.0,164.0,16.0,16.0,None,0
356,19030N2,90.0,126.0,36.0,24.0,None,0
357,19031N2,90.0,126.0,36.0,24.0,None,0
358,19040N2,120.0,224.0,16.0,24.0,V,8
359,19041N2,72.0,132.0,24.0,18.0,V,6
360,19050N2,60.0,132.0,24.0,0.0,None,0
361,19051N2,60.0,144.0,24.0,0.0,None,0
362,19060N2,0.0,0.0,0.0,0.0,None,0
363,19061N2,84.0,112.0,8.0,2.0,None,0
364,19070N2,72.0,132.0,36.0,12.0,None,0
365,19071N2,72.0,132.0,36.0,12.0,None,0
366,19072N2,108.0,198.0,54.0,18.0,None,0
367,19080N2,84.0,96.0,24.0,24.0,None,0
368,19090N2,60.0,132.0,24.0,12.0,None,0
369,19100N2,24.0,120.0,0.0,24.0,None,0
370,19101N2,36.0,108.0,0.0,24.0,None,0
371,19102N2,60.0,144.0,24.0,0.0,None,0
372,19103N2,60.0,144.0,24.0,0.0,None,0
373,19110N2,84.0,132.0,24.0,12.0,None,0
374,19120N2,60.0,84.0,24.0,24.0,None,0
375,19121N2,60.0,84.0,24.0,24.0,None,0
376,19122N2,84.0,96.0,24.0,24.0,None,0
377,19123N2,84.0,96.0,24.0,24.0,None,0
378,19130N2,152.0,272.0,32.0,0.0,None,0
379,19140N2,24.0,120.0,12.0,24.0,None,0
380,19141N2,0.0,120.0,12.0,24.0,None,0
381,19142N2,48.0,156.0,0.0,36.0,None,0
382,19143N2,48.0,156.0,0.0,36.0,None,0
383,19144N2,36.0,120.0,0.0,48.0,None,0
384,19145N2,48.0,120.0,12.0,24.0,None,0
385,19150N2,12.0,24.0,12.0,6.0,None,0
386,19160C2,42.0,72.0,12.0,30.0,None,0
387,19170N2,252.0,252.0,12.0,36.0,None,0
388,19180N2,84.0,132.0,24.0,12.0,None,0
389,19181N2,60.0,96.0,24.0,12.0,None,0
390,19182N2,96.0,144.0,36.0,24.0,None,0
391,19190N2,224.0,312.0,16.0,16.0,None,0
392,19191N2,486.0,486.0,18.0,18.0,None,0
393,19200N2,72.0,108.0,12.0,0.0,None,0
394,19210N2,120.0,162.0,24.0,0.0,None,0
395,19211C2,114.0,162.0,24.0,0.0,None,0
396,19212N2,132.0,168.0,24.0,0.0,None,0
397,19213C2,126.0,168.0,24.0,0.0,None,0
398,19214N2,114.0,168.0,24.0,0.0,None,0
399,19215C2,108.0,168.0,24.0,0.0,None,0
400,19220N2,108.0,180.0,12.0,0.0,None,0
401,19230N2,232.0,344.0,32.0,8.0,None,0
402,19231N2,232.0,344.0,32.0,8.0,None,0
403,19240N3,152.0,236.0,16.0,0.0,None,0
404,19241N3,168.0,244.0,16.0,0.0,None,0
405,19242N3,144.0,236.0,16.0,0.0,None,0
406,19250N3,352.0,448.0,32.0,32.0,None,0
407,19251N3,320.0,448.0,32.0,32.0,Zn,16
408,19252N3,352.0,456.0,32.0,32.0,None,0
409,19253N3,320.0,456.0,32.0,32.0,Zn,16
410,19260N2,36.0,68.0,12.0,0.0,None,0
411,19270N2,88.0,156.0,16.0,0.0,Zn,2
412,19271N2,88.0,156.0,16.0,0.0,Zn,2
413,19280N2,264.0,348.0,24.0,24.0,None,0
414,19281N2,216.0,324.0,24.0,24.0,None,0
415,19282N2,216.0,348.0,24.0,48.0,None,0
416,19283N2,216.0,348.0,24.0,24.0,None,0
417,19290N2,360.0,564.0,36.0,0.0,None,0
418,19291N2,120.0,192.0,12.0,0.0,None,0
419,19292N2,344.0,532.0,32.0,4.0,None,0
420,19300N2,48.0,72.0,12.0,0.0,None,0
421,19301N2,0.0,0.0,0.0,0.0,None,0
422,19310N2,152.0,232.0,16.0,0.0,None,0
423,19311N2,128.0,208.0,40.0,0.0,None,0
424,19320C2,228.0,228.0,36.0,0.0,None,0
425,19330N2,192.0,324.0,24.0,0.0,None,0
426,19340N2,48.0,72.0,12.0,0.0,None,0
427,19341N2,42.0,66.0,6.0,0.0,None,0
428,19350N2,96.0,168.0,8.0,0.0,None,0
429,19351N2,120.0,216.0,12.0,0.0,None,0
430,19352N2,144.0,276.0,12.0,0.0,None,0
431,19353N2,96.0,184.0,8.0,0.0,None,0
432,19360N2,96.0,144.0,12.0,0.0,None,0
433,19361N2,84.0,144.0,12.0,0.0,None,0
434,19362N2,96.0,168.0,12.0,0.0,None,0
435,19363N2,120.0,180.0,12.0,12.0,None,0
436,19364N2,144.0,192.0,12.0,12.0,None,0
437,19365N2,168.0,204.0,12.0,12.0,None,0
438,19366N2,120.0,204.0,12.0,0.0,None,0
439,19370N2,140.0,148.0,16.0,0.0,None,0
440,19380N2,144.0,232.0,24.0,0.0,None,0
441,19390N2,48.0,72.0,12.0,8.0,None,0
442,19400N3,80.0,116.0,16.0,0.0,None,0
443,19401N3,40.0,58.0,8.0,0.0,None,0
444,19402N3,80.0,116.0,16.0,0.0,None,0
445,19403N3,40.0,58.0,8.0,0.0,None,0
446,19404N3,80.0,116.0,16.0,0.0,None,0
447,19410N2,216.0,360.0,24.0,0.0,None,0
448,19411N2,240.0,408.0,24.0,0.0,None,0
449,19412N2,264.0,480.0,24.0,0.0,None,0
450,19413N2,72.0,132.0,24.0,0.0,None,0
451,19420N3,256.0,360.0,32.0,0.0,None,0
452,19421N3,320.0,456.0,32.0,0.0,None,0
453,19430N2,128.0,224.0,16.0,0.0,None,0
454,19431N2,96.0,168.0,8.0,0.0,None,0
455,19440N2,104.0,160.0,32.0,0.0,Cu,2
456,19441N2,104.0,160.0,32.0,0.0,Zn,2
457,19450N2,222.0,258.0,30.0,6.0,None,0
458,19451N2,210.0,276.0,30.0,6.0,None,0
459,19452N2,198.0,276.0,30.0,6.0,None,0
460,19453N2,240.0,264.0,36.0,0.0,None,0
461,19454N2,0.0,0.0,0.0,0.0,None,0
462,19455N2,210.0,258.0,30.0,0.0,None,0
463,19456N2,240.0,270.0,36.0,0.0,None,0
464,19460N2,48.0,72.0,12.0,6.0,None,0
465,19461N2,48.0,72.0,12.0,6.0,None,0
466,19462N2,60.0,84.0,12.0,12.0,None,0
467,19463N2,60.0,84.0,12.0,12.0,None,0
468,19464N2,96.0,108.0,12.0,12.0,None,0
469,19465N2,96.0,108.0,12.0,12.0,None,0
470,19466N2,0.0,0.0,0.0,0.0,None,0
471,19467N2,132.0,144.0,12.0,24.0,None,0
472,19470N2,408.0,636.0,72.0,0.0,None,0
473,19471N2,408.0,636.0,72.0,0.0,None,0
474,19480N2,204.0,252.0,24.0,0.0,None,0
475,19481N2,192.0,252.0,24.0,0.0,None,0
476,19482N2,192.0,246.0,30.0,0.0,None,0
477,19483N2,156.0,180.0,24.0,0.0,None,0
478,19490N2,92.0,148.0,12.0,0.0,None,0
479,19491N2,112.0,168.0,12.0,0.0,None,0
480,19500N2,108.0,180.0,24.0,24.0,None,0
481,19510N2,108.0,156.0,24.0,12.0,None,0
482,19511N2,72.0,108.0,12.0,6.0,None,0
483,19520N2,156.0,180.0,12.0,24.0,None,0
484,19521N2,180.0,192.0,12.0,30.0,None,0
485,19522N2,204.0,204.0,12.0,36.0,None,0
486,19530N2,104.0,152.0,12.0,0.0,None,0
487,19531N2,120.0,176.0,12.0,0.0,None,0
488,19540N2,144.0,252.0,24.0,0.0,None,0
489,19541N2,192.0,324.0,24.0,0.0,None,0
490,19542N2,120.0,240.0,36.0,0.0,None,0
491,19550N2,84.0,128.0,16.0,0.0,None,0
492,19560N2,168.0,180.0,12.0,12.0,None,0
493,19570N2,120.0,200.0,24.0,0.0,None,0
494,19571N2,120.0,200.0,24.0,0.0,None,0
495,19572N2,156.0,256.0,28.0,0.0,None,0
496,19573N2,156.0,256.0,28.0,0.0,None,0
497,20000N2,152.0,232.0,32.0,0.0,None,0
498,20010N2,264.0,420.0,24.0,48.0,None,0
499,20020N2,60.0,120.0,12.0,24.0,None,0
500,20021N2,60.0,108.0,24.0,12.0,None,0
501,20030N2,228.0,240.0,48.0,60.0,None,0
502,20031N2,228.0,264.0,48.0,60.0,None,0
503,20040N2,128.0,196.0,28.0,0.0,None,0
504,20050N2,184.0,304.0,32.0,16.0,None,0
505,20051N2,176.0,304.0,32.0,16.0,Ni,4
506,20052N2,176.0,304.0,32.0,16.0,Cu,4
507,20060C2,42.0,72.0,12.0,24.0,None,0
508,20070N2,42.0,60.0,6.0,0.0,None,0
509,20080N2,60.0,120.0,16.0,24.0,None,0
510,20090N2,112.0,176.0,16.0,0.0,None,0
511,20091N2,104.0,180.0,16.0,8.0,None,0
512,20100C3,180.0,228.0,36.0,0.0,None,0
