Number,Name,PLD,LCD,VSA,Density,VF,H,C,N,O,Metal,Metal_count,Number_group
147,15202N3,10.5223,13.35449,1636.53,0.257625,0.8862,40.0,90.0,8.0,16.0,0,0,8
148,15210N2,22.06435,22.30023,1115.11,0.617226,0.7114,48.0,108.0,0.0,24.0,0,0,0
149,15211N2,21.04675,23.73244,1644.18,0.309959,0.8592,96.0,216.0,0.0,48.0,0,0,0
150,15220N2,10.72475,11.19018,1370.91,0.764041,0.632,30.0,60.0,12.0,0.0,0,0,6
151,15240N2,28.13916,28.40894,963.964,0.455936,0.7738,132.0,168.0,24.0,0.0,0,0,6
152,15241N2,9.19961,9.91917,2314.48,0.420398,0.7916,132.0,168.0,24.0,0.0,0,0,6
153,15242N2,14.94592,15.43792,1175.49,0.688967,0.6462,102.0,126.0,18.0,0.0,0,0,0
154,15243N2,4.99182,5.96509,2478.61,0.657098,0.6596,102.0,126.0,18.0,0.0,0,0,0
155,15250N2,23.28698,23.50203,1081.1,0.469734,0.7626,72.0,108.0,12.0,0.0,0,0,12
156,15251N2,22.70874,22.78767,1113.3,0.535897,0.7552,68.0,104.0,16.0,0.0,0,0,12
157,15252N2,22.49059,22.61732,1114.82,0.520862,0.757,64.0,100.0,20.0,0.0,0,0,12
158,15253N2,22.20325,22.44368,1111.69,0.515201,0.7534,60.0,96.0,24.0,0.0,0,0,12
159,16000N2,33.38092,33.55356,876.417,0.444588,0.788,72.0,192.0,0.0,24.0,0,0,0
160,16001N2,38.1313,38.28456,801.659,0.393051,0.813,72.0,216.0,0.0,24.0,0,0,0
161,16002N2,35.70086,35.8627,838.481,0.417252,0.7946,72.0,204.0,0.0,24.0,0,0,0
162,16010N2,13.94958,14.33808,1337.87,0.750297,0.6552,0.0,0.0,0.0,0.0,0,0,0
163,16011N2,29.15277,29.37192,963.745,0.422249,0.7966,0.0,0.0,0.0,0.0,0,0,12
164,16020N2,20.89314,21.2104,1189.02,0.557269,0.7462,0.0,0.0,0.0,0.0,0,0,0
165,16030N2,25.93049,26.13967,971.59,0.428418,0.7728,96.0,150.0,24.0,0.0,0,0,12
166,16031N2,20.59917,20.89927,1142.29,0.459652,0.7516,138.0,174.0,30.0,0.0,0,0,12
167,16032N2,21.78847,22.30685,1134.85,0.388373,0.8028,138.0,174.0,30.0,12.0,0,0,12
168,16040N2,6.64559,7.15556,1450.89,0.762552,0.6106,52.0,84.0,8.0,0.0,0,0,8
169,16041N2,12.71309,13.07656,1530.64,0.572642,0.7126,88.0,132.0,12.0,0.0,0,0,20
170,16050N2,14.72412,15.08117,1138.58,0.763077,0.671,40.0,104.0,20.0,16.0,3,2,2
171,16051N2,20.05163,20.15685,1080.93,0.606226,0.724,88.0,216.0,8.0,48.0,0,0,8
