,name,smile
10,08012N2.cif,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2]
11,08013N2.cif,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2]
12,08020N2.cif,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[N-3].[N-3].[N-3].[N-3].[N-3].[N-3].[N-3].[N-3].[N-3].[N-3].[N-3].[N-3]
13,08030N2.cif,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2]
14,09000N3.cif,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[N-3].[N-3].[N-3].[N-3].[N-3].[N-3].[N-3].[N-3].[N-3].[N-3].[N-3].[N-3].[N-3].[N-3].[N-3].[N-3]
15,09010N2.cif,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2]
16,10000N2.cif,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[N-3].[N-3].[N-3].[N-3].[N-3].[N-3].[N-3].[N-3].[N-3].[N-3].[N-3].[N-3]
17,10001N2.cif,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[N-3].[N-3].[N-3].[N-3].[N-3].[N-3].[N-3].[N-3].[N-3].[N-3].[N-3].[N-3]
18,10010N2.cif,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[BH6-3].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[N-3].[N-3].[N-3].[N-3].[N-3].[N-3].[N-3].[N-3].[N-3].[N-3].[N-3].[N-3].[N-3].[N-3].[N-3].[N-3].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2]
19,10020N2.cif,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-].[H-]
